name,price,currency
Відгуки покупців про Кабель ArmorStandart AR88 USB to Type-C 2.4 A 1 м Purple (ARM60007),,
" Кабель Vention HDMI-HDMI, 1 м v2.0 (AACBF) (43387912)", 119,₴
"Відгуки покупців про Кабель Vention HDMI-HDMI, 1 м v2.0 (AACBF) (43387912)",,
 Кабель Baseus Cafule Cable USB for Lightning Special Edition 2.4 A 1 м Red/Black (CALKLF-G91), 169,₴
Відгуки покупців про Кабель Baseus Cafule Cable USB for Lightning Special Edition 2.4 A 1 м Red (CALKLF-G09),,
 Кабель ArmorStandart AR88 USB to Type-C 2.4 A 1 м Blue (ARM60008), 289,₴
 Кабель ArmorStandart AR88 USB to Type-C 2.4 A 1 м Purple (ARM60007), 289,₴
"Відгуки покупців про Кабель Vention DisplayPort v1.4 5 м Black, 8K 60 Hz, 4K 144Hz, 2K 165Hz, 1080P 240Hz (HCCBJ)",,
" Кабель Vention DisplayPort v1.4 5 м Black, 8K 60 Hz, 4K 144Hz, 2K 165Hz, 1080P 240Hz (HCCBJ)", 1 199,₴
 Кабель ColorWay USB — MicroUSB (nylon) 2.4 A 1 м Black (CW-CBUM045-BK), 199,₴
Відгуки покупців про Кабель живлення Cablexpert С13-С14 1.8 м (PC-189-VDE),,
 Кабель Promate PrimeLink-C40 USB Type-C to USB Type-C 100 Вт PD 1 м Black (primelink-c40.black), 1 699,₴
Відгуки покупців про Кабель ColorWay USB — MicroUSB (nylon) 2.4 A 1 м Black (CW-CBUM045-BK),,
Відгуки покупців про Кабель Promate PrimeLink-C40 USB Type-C to USB Type-C 100 Вт PD 1 м Black (primelink-c40.black),,
 Адаптер XoKo АС-011 Lightning — Jack 3.5 мм (AC-011), 149,₴
Відгуки покупців про Адаптер XoKo АС-011 Lightning — Jack 3.5 мм (AC-011),,
Відгуки покупців про Кабель Promate PowerBolt240-2M USB Type-C to USB Type-C 240 Вт PD 2 м Black (powerbolt240-2m.black),,
 Кабель Promate PowerBolt240-2M USB Type-C to USB Type-C 240 Вт PD 2 м Black (powerbolt240-2m.black), 1 699,₴
 Кабель живлення Cablexpert С13-С14 1.8 м (PC-189-VDE), 119,₴
Відгуки покупців про Кабель синхронізації Intaleo CBGPD60WTT2 Type-C to Type-C 2 м 60 W Сірий (1283126518102),,
 Кабель синхронізації Intaleo CBGPD60WTT2 Type-C to Type-C 2 м 60 W Сірий (1283126518102), 299,₴
Відгуки покупців про Кабель Promate PowerBolt240-1M USB Type-C to USB Type-C 240 Вт PD 1 м Black (powerbolt240-1m.black),,
Відгуки покупців про Адаптер Gembird USB 3.0 — RJ45 LAN Gigabit (NIC-U3-02),,
 Адаптер Gembird USB 3.0 — RJ45 LAN Gigabit (NIC-U3-02), 593,₴
 Кабель Promate PowerBolt240-1M USB Type-C to USB Type-C 240 Вт PD 1 м Black (powerbolt240-1m.black), 1 499,₴
 Адаптер Promate MediaSync-LT Lightning to USB 3.0 OTG/RJ45/HDMI/10Вт Lightning-in White (mediasync-lt.white), 1 399,₴
Відгуки покупців про Адаптер Promate MediaSync-LT Lightning to USB 3.0 OTG/RJ45/HDMI/10Вт Lightning-in White (mediasync-lt.white),,
Відгуки покупців про Кабель Apple USB-C to Lightning Cable 2 м (MQGH2ZM/A),,
Відгуки покупців про Кабель синхронізації Intaleo CBFLEXTT1 Type-C to Type-C 1.2 м 18 Вт Чорний (1283126504082),,
 Кабель Apple USB-C to Lightning Cable 2 м (MQGH2ZM/A), 1 499,₴
Відгуки покупців про Кабель живлення Cablexpert PC-186 CEE7/17-C13 1.8 м,,
 Кабель Promate PentaPower USB-C / USB-А to USB-C / microUSB / Lightning 1.2 м Black (pentapower.black), 499,₴
 Адаптер Gembird USB - RJ-45 White (NIC-U2-02), 249,₴
 Кабель живлення Cablexpert PC-186 CEE7/17-C13 1.8 м, 139,₴
 Кабель синхронізації Pixus Soft Lightning Black (PXS SLB), 199,₴
Відгуки покупців про Адаптер Gembird USB - RJ-45 White (NIC-U2-02),,
 Кабель Promate ThunderLink-C20 + USB Type-C / USB Type-C 100W PD 1.5 м Black (thunderlink-c20 +.black), 1 099,₴
Відгуки покупців про Кабель Promate ThunderLink-C20 + USB Type-C / USB Type-C 100W PD 1.5 м Black (thunderlink-c20 +.black),,
Відгуки покупців про Кабель синхронізації Pixus Soft Lightning Black (PXS SLB),,
 Кабель Atcom HDMI-HDMI Premium VER 2.1 60 HZ 1 м Чорний (23781), 164,₴
Відгуки покупців про Кабель Baseus Display Fast Charging Data Cable Type-C to Type-C 100W 2 м Green (CATSK-C06),,
 Кабель Baseus Display Fast Charging Data Cable Type-C to Type-C 100W 2 м Green (CATSK-C06), 529,₴
Відгуки покупців про Кабель Atcom HDMI-HDMI Premium VER 2.1 60 HZ 1 м Чорний (23781),,
 Кабель RZTK HDMI-DVI M-M 1.8 м Black, 115,₴
Відгуки покупців про Кабель RZTK HDMI-DVI M-M 1.8 м Black,,
 Кабель Promate proLink4K2 HDMI - HDMI v.2.0 1.5 м Black (proLink4K2-150.black), 199,₴
Відгуки покупців про Кабель Promate PowerLink-AC200 USB-A to USB-C 3А 2 м Black (powerlink-ac200.black),,
 Кабель Promate PowerLink-AC200 USB-A to USB-C 3А 2 м Black (powerlink-ac200.black), 319,₴
Відгуки покупців про Кабель Promate proLink4K2 HDMI - HDMI v.2.0 1.5 м Black (proLink4K2-150.black),,
 Кабель Promate PowerLink-AC200 USB-A to USB-C 3А 2 м White (powerlink-ac200.white), 319,₴
 Кабель Promate PowerLink-AC120 USB-A to USB-C 3А 1.2 м Black (powerlink-ac120.black), 299,₴
 Кабель Apple Lightning to USB 1 м (MXLY2ZM/A), 899,₴
Відгуки покупців про Кабель Apple Lightning to USB 1 м (MXLY2ZM/A),,
 Кабель Vertux VertuLink-300 HDMI 2.1 UltraHD-8K HDR eARC 3 м Bloodyred (vertulink-300.bloodyred), 999,₴
 Кабель Vertux VertuLink-300 HDMI 2.1 UltraHD-8K HDR eARC 3 м Lasergreen (vertulink-300.lasergreen), 799,₴
 Кабель Apple USB-C - USB-C 2 м (MLL82ZM/A), 1 099,₴
 Кабель Vertux VertuLink-150 HDMI 2.1 UltraHD-8K HDR eARC 1.5 м Black (vertulink-150.black), 799,₴
Відгуки покупців про Кабель Apple USB-C - USB-C 2 м (MLL82ZM/A),,
Відгуки покупців про Кабель Vertux VertuLink-150 HDMI 2.1 UltraHD-8K HDR eARC 1.5 м Black (vertulink-150.black),,
 Кабель RZTK DisplayPort v.1.2 1.8 м, 169,₴
 Адаптер RZTK HDMI A Plug - VGA 0.2 м Black, 149,₴
 Кабель Promate PowerLink-CC120 USB-C to USB-C 60 Вт Power Delivery 1.2 м Black (powerlink-cc120.black), 319,₴
 Кабель Promate PowerLink-CC200 USB-C to USB-C 60 Вт Power Delivery 2 м White (powerlink-cc200.white), 349,₴
Відгуки покупців про Кабель Promate PowerLink-CC120 USB-C to USB-C 60 Вт Power Delivery 1.2 м Black (powerlink-cc120.black),,
Відгуки покупців про Кабель RZTK DisplayPort v.1.2 1.8 м,,
Відгуки покупців про Адаптер RZTK HDMI A Plug - VGA 0.2 м Black,,
Відгуки покупців про Кабель Grand-X USB Type-C 3A 1 м White (PC-03W),,
 Кабель Grand-X USB Type-C 3A 1 м Black (PC-03B), 99,₴
 Кабель Grand-X USB Type-C 3A 1 м White (PC-03W), 99,₴
 Кабель живлення Atcom 1.8 м Black (4547), 63,₴
 Кабель Maxxter USB 2.0 AM - USB 2.0 BM 1.8 м (U-AMBM-6), 51,₴
 Кабель для принтера Atcom USB AM - USB BM 1.8 м White (3795), 43,₴
 Кабель живлення Atcom SATA Molex 4pin-15pin 15 см (3798), 50,₴
Відгуки покупців про Кабель живлення Atcom SATA Molex 4pin-15pin 15 см (3798),,
Відгуки покупців про Кабель для принтера Atcom USB AM - USB BM 1.8 м White (3795),,
 Кабель Cablexpert USB 2.0 AM - BM 3 м з феритовим фільтром (CCF-USB2-AMBM-10), 105,₴
Відгуки покупців про Кабель живлення Atcom 1.8 м Black (4547),,
Відгуки покупців про Кабель Maxxter USB 2.0 AM - USB 2.0 BM 1.8 м (U-AMBM-6),,
Відгуки покупців про Кабель Cablexpert USB 2.0 AM - BM 3 м з феритовим фільтром (CCF-USB2-AMBM-10),,
Відгуки покупців про ProLink Jack 3.5 — 2RCA (M-M) 3 м (PB103-0300),,
 Адаптер Apple Lightning - 3.5 mm White (MMX62ZM/A), 499,₴
 ProLink Jack 3.5 — 2RCA (M-M) 3 м (PB103-0300), 139,₴
Відгуки покупців про Адаптер Apple Lightning - 3.5 mm White (MMX62ZM/A),,
Відгуки покупців про Кабель Cablexpert USB 2.0 AM - BM 4.5 м (CCP-USB2-AMBM-15),,
 Кабель Cablexpert USB 2.0 AM - BM 4.5 м (CCP-USB2-AMBM-15), 99,₴
 Кабель живлення Atcom 1.8 м Black (16134), 55,₴
Відгуки покупців про Кабель живлення Atcom 1.8 м Black (16134),,
" Кабель ExtraDigital Serial ATA 3.0, 7pin-7pin, 26 AWG, 0.5 м (KBD1659)", 86,₴
Відгуки покупців про Кабель PowerPlant USB - microUSB 2 м Білий (CA910731),,
 Кабель PowerPlant USB - microUSB 2 м Білий (CA910731), 489,₴
 Кабель RZTK HDMI - HDMI 4K v. 2.0 4.5 м Black, 115,₴
"Відгуки покупців про Кабель ExtraDigital Serial ATA 3.0, 7pin-7pin, 26 AWG, 0.5 м (KBD1659)",,
Відгуки покупців про Кабель RZTK HDMI - HDMI 4K v. 2.0 4.5 м Black,,
Відгуки покупців про Перехідник Cablexpert DVID — VGA 0.2 м Чорний (A-DVID-VGAF-01),,
 Перехідник Cablexpert DVID — VGA 0.2 м Чорний (A-DVID-VGAF-01), 176,₴
 Кабель Promate cCord-1 USB — USB Type-C 3А 1 м Black (ccord-1.black), 179,₴
Відгуки покупців про Кабель Promate cCord-1 USB — USB Type-C 3А 1 м Black (ccord-1.black),,
Відгуки покупців про Кабель Baseus Tough Series Lightning 2A 1 м Black (CALZY-B01),,
 Кабель Baseus Tough Series Lightning 2A 1 м Black (CALZY-B01), 149,₴
 Кабель Baseus Tough Series Lightning 2A 1 м White (CALZY-B02), 149,₴
Відгуки покупців про Адаптер RZTK DVI (24+1) male to VGA female 0.15 м Black,,
